date_mutation,valeur_fonciere,code_commune,nom_commune,surface_reelle_bati,nombre_pieces_principales,type_local,prix_m2,prix_m2_median_commune,prix_m2_moyen_commune,evolution_2022_2024_%
2022-01-03,623390.0,69383,Lyon 3e Arrondissement,120.0,5.0,Appartement,5194.916666666667,4948.142857142857,5144.689758985936,-11.994113318616634
2022-01-05,261500.0,69387,Lyon 7e Arrondissement,83.0,4.0,Appartement,3150.602409638554,4815.591133004926,4938.686737254932,-9.991243648971919
2022-01-06,375850.0,69383,Lyon 3e Arrondissement,83.0,4.0,Appartement,4528.313253012048,4948.142857142857,5144.689758985936,-11.994113318616634
2022-01-10,302000.0,69388,Lyon 8e Arrondissement,79.0,4.0,Appartement,3822.784810126582,4517.295285359802,4795.721262502378,-9.920941057490353
2022-01-07,250000.0,69256,Vaulx-en-Velin,100.0,5.0,Maison,2500.0,3084.6666666666665,3162.1324247818484,-10.25922697599465
2022-01-19,320000.0,69266,Villeurbanne,78.0,4.0,Appartement,4102.5641025641025,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-18,260000.0,69283,Mions,71.0,4.0,Maison,3661.9718309859154,4066.1488511488515,4275.485418836544,-9.21608201581027
2022-01-14,377000.0,69266,Villeurbanne,108.0,5.0,Appartement,3490.740740740741,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-13,250000.0,69277,Genas,90.0,4.0,Maison,2777.777777777778,4841.6774915205315,5045.00430382899,-9.678353003515467
2022-01-17,391200.0,69266,Villeurbanne,100.0,5.0,Maison,3912.0,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-10,893000.0,69386,Lyon 6e Arrondissement,147.0,6.0,Appartement,6074.829931972789,5923.362831858407,6032.092875201931,-16.00989644496637
2022-01-12,250000.0,69266,Villeurbanne,67.0,4.0,Appartement,3731.3432835820895,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-18,179000.0,69290,Saint-Priest,77.0,4.0,Appartement,2324.6753246753246,3283.3333333333335,3321.493702410391,-11.804870761119538
2022-01-04,492650.0,69277,Genas,109.0,5.0,Maison,4519.724770642202,4841.6774915205315,5045.00430382899,-9.678353003515467
2022-01-14,432000.0,69259,Vénissieux,175.0,5.0,Maison,2468.5714285714284,3257.7419354838707,3911.832884700302,-17.069532530120483
2022-01-14,245000.0,69266,Villeurbanne,73.0,5.0,Appartement,3356.1643835616437,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-14,355000.0,69279,Jonage,101.0,5.0,Maison,3514.8514851485147,4242.857142857143,4320.818697803777,-10.464481459953772
2022-01-11,292000.0,69387,Lyon 7e Arrondissement,97.0,5.0,Appartement,3010.3092783505153,4815.591133004926,4938.686737254932,-9.991243648971919
2022-01-13,210000.0,69259,Vénissieux,85.0,4.0,Appartement,2470.5882352941176,3257.7419354838707,3911.832884700302,-17.069532530120483
2022-01-18,157000.0,69266,Villeurbanne,69.0,4.0,Appartement,2275.3623188405795,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-12,370000.0,69288,Saint-Laurent-de-Mure,90.0,4.0,Maison,4111.111111111111,4174.757281553398,4266.323443686197,-17.695731210430633
2022-01-20,356000.0,69383,Lyon 3e Arrondissement,80.0,4.0,Appartement,4450.0,4948.142857142857,5144.689758985936,-11.994113318616634
2022-01-14,215000.0,69266,Villeurbanne,66.0,4.0,Appartement,3257.5757575757575,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-17,500000.0,69029,Bron,252.0,7.0,Maison,1984.126984126984,3235.294117647059,3618.9440898133594,-11.482382694997412
2022-01-18,537000.0,69383,Lyon 3e Arrondissement,119.0,5.0,Appartement,4512.605042016807,4948.142857142857,5144.689758985936,-11.994113318616634
2022-01-14,409000.0,69266,Villeurbanne,114.0,5.0,Appartement,3587.719298245614,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-05,765000.0,69387,Lyon 7e Arrondissement,153.0,4.0,Appartement,5000.0,4815.591133004926,4938.686737254932,-9.991243648971919
2022-01-14,230000.0,69266,Villeurbanne,68.0,4.0,Appartement,3382.3529411764707,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-13,182400.0,69290,Saint-Priest,83.0,4.0,Appartement,2197.590361445783,3283.3333333333335,3321.493702410391,-11.804870761119538
2022-01-10,148000.0,69290,Saint-Priest,73.0,4.0,Appartement,2027.3972602739725,3283.3333333333335,3321.493702410391,-11.804870761119538
2022-01-11,380000.0,69285,Pusignan,89.0,4.0,Maison,4269.662921348315,4161.507936507936,4507.165977329273,-4.750277394569339
2022-01-10,328875.0,69266,Villeurbanne,86.0,5.0,Appartement,3824.1279069767443,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-13,300000.0,69279,Jonage,74.0,4.0,Maison,4054.054054054054,4242.857142857143,4320.818697803777,-10.464481459953772
2022-01-18,346600.0,69266,Villeurbanne,86.0,4.0,Appartement,4030.232558139535,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-12,349900.0,69282,Meyzieu,91.0,4.0,Maison,3845.054945054945,3846.153846153846,4030.6003906650662,-11.23603816850359
2022-01-21,270000.0,69383,Lyon 3e Arrondissement,67.0,4.0,Appartement,4029.8507462686566,4948.142857142857,5144.689758985936,-11.994113318616634
2022-01-07,249200.0,69259,Vénissieux,108.0,5.0,Appartement,2307.4074074074074,3257.7419354838707,3911.832884700302,-17.069532530120483
2022-01-21,265410.0,69266,Villeurbanne,83.0,4.0,Appartement,3197.710843373494,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-05,196300.0,69256,Vaulx-en-Velin,91.0,4.0,Appartement,2157.1428571428573,3084.6666666666665,3162.1324247818484,-10.25922697599465
2022-01-18,344000.0,69266,Villeurbanne,92.0,5.0,Appartement,3739.1304347826085,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-03,295000.0,69266,Villeurbanne,85.0,4.0,Appartement,3470.5882352941176,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-13,286850.0,69256,Vaulx-en-Velin,82.0,4.0,Appartement,3498.170731707317,3084.6666666666665,3162.1324247818484,-10.25922697599465
2022-01-03,240000.0,69029,Bron,78.0,4.0,Appartement,3076.923076923077,3235.294117647059,3618.9440898133594,-11.482382694997412
2022-01-12,205000.0,69266,Villeurbanne,68.0,4.0,Appartement,3014.705882352941,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-10,425000.0,69270,Chaponnay,116.0,6.0,Maison,3663.793103448276,4569.457142857143,4619.230584232934,-8.448917427195072
2022-01-18,148000.0,69290,Saint-Priest,73.0,4.0,Appartement,2027.3972602739725,3283.3333333333335,3321.493702410391,-11.804870761119538
2022-01-10,410000.0,69388,Lyon 8e Arrondissement,97.0,4.0,Appartement,4226.80412371134,4517.295285359802,4795.721262502378,-9.920941057490353
2022-01-14,310000.0,69266,Villeurbanne,70.0,4.0,Appartement,4428.571428571428,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-08,242500.0,69256,Vaulx-en-Velin,78.0,4.0,Appartement,3108.974358974359,3084.6666666666665,3162.1324247818484,-10.25922697599465
2022-01-06,290000.0,69266,Villeurbanne,89.0,5.0,Appartement,3258.4269662921347,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-04,641200.0,69297,Ternay,152.0,5.0,Maison,4218.421052631579,3961.9109181383546,4420.755881226644,1.1468732070034569
2022-01-14,524350.0,69285,Pusignan,126.0,5.0,Maison,4161.507936507936,4161.507936507936,4507.165977329273,-4.750277394569339
2022-01-20,825000.0,69386,Lyon 6e Arrondissement,185.0,5.0,Appartement,4459.459459459459,5923.362831858407,6032.092875201931,-16.00989644496637
2022-01-25,190750.0,69290,Saint-Priest,89.0,5.0,Appartement,2143.258426966292,3283.3333333333335,3321.493702410391,-11.804870761119538
2022-01-17,314286.0,69388,Lyon 8e Arrondissement,94.0,4.0,Appartement,3343.468085106383,4517.295285359802,4795.721262502378,-9.920941057490353
2022-01-10,240000.0,69259,Vénissieux,94.0,5.0,Appartement,2553.191489361702,3257.7419354838707,3911.832884700302,-17.069532530120483
2022-01-12,445000.0,69288,Saint-Laurent-de-Mure,97.0,4.0,Maison,4587.628865979382,4174.757281553398,4266.323443686197,-17.695731210430633
2022-01-14,171000.0,69029,Bron,81.0,4.0,Appartement,2111.1111111111113,3235.294117647059,3618.9440898133594,-11.482382694997412
2022-01-24,375000.0,69266,Villeurbanne,91.0,4.0,Appartement,4120.879120879121,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-19,329850.0,69299,Colombier-Saugnieu,80.0,4.0,Maison,4123.125,3749.797625472207,3841.074740467143,-18.815428843759136
2022-01-19,330000.0,69282,Meyzieu,80.0,4.0,Maison,4125.0,3846.153846153846,4030.6003906650662,-11.23603816850359
2022-01-24,502250.0,69277,Genas,94.0,4.0,Maison,5343.085106382979,4841.6774915205315,5045.00430382899,-9.678353003515467
2022-01-19,263500.0,69275,Décines-Charpieu,106.0,5.0,Appartement,2485.8490566037735,3800.0,4030.0524507794726,-10.35846951652618
