nom,nature,adresse,code_postal,commune,the_geom
Collège Asa Paulini,COLLEGE,900 avenue de l'Europe ,69480,Anse,POINT (4.712986205748601 45.93879178586329)
Ecole secondaire privée Declic,COLLEGE,31 rue DES TUILLIERS 69008 LYON,69008,Lyon 8e Arrondissement,POINT (4.864690225211713 45.74649634215559)
Section d'enseignement général et professionnel adapté du Collège Jean Jaurès,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,54 rue Jean Jaurès 69100 VILLEURBANNE,69100,Villeurbanne,POINT (4.883449409156435 45.757598802511225)
Collège du Val d'Ardières,COLLEGE,474 rue de Verdun ,69430,Beaujeu,POINT (4.592804744637627 46.15134273849889)
Collège Émile Zola,COLLEGE,Avenue de Verdun ,69220,Belleville-en-Beaujolais,POINT (4.7492541426159125 46.10498945788737)
Section d'enseignement général et professionnel adapté du Collège Jean Charcot,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,13 rue COMMANDANT CHARCOT 69005 LYON,69005,Lyon 5e Arrondissement,POINT (4.805426787641749 45.7535244316568)
Collège le Bassenon,COLLEGE,4 rue Girard Desargues ,69420,Condrieu,POINT (4.776331322441668 45.47158463989875)
Collège François Brossette,COLLEGE,Rue Croix-Dumont ,69470,Cours-la-Ville,POINT (4.321761731841764 46.095632080672324)
Collège du Mont Saint-Rigaud,COLLEGE,142 rue du collège Monsols ,69860,Deux-Grosnes,POINT (4.515259225435014 46.22233991079177)
Collège Pierre Brossolette,COLLEGE,19 boulevard Général de Gaulle ,69600,Oullins-Pierre-Bénite,POINT (4.790044348266654 45.71649429285691)
Collège Marcel Pagnol,COLLEGE,44 rue Charles de Gaulle ,69310,Oullins-Pierre-Bénite,POINT (4.8186190425480575 45.69940404149479)
Collège du Val d'Argent,COLLEGE,137 rue des Prairies ,69610,Sainte-Foy-l'Argentière,POINT (4.476793866825912 45.70713072070474)
Collège Bois Franc,COLLEGE,525 route du Beaujolais ,69830,Saint-Georges-de-Reneins,POINT (4.713020512701666 46.060652918137535)
Section d'enseignement général et professionnel adapté du Collège Le Plan du Loup,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,35 allée ALBAN VISTEL 69110 STE FOY LES LYON,69110,Sainte-Foy-lès-Lyon,POINT (4.789657248014452 45.733299731900026)
Collège Victor Schoelcher,COLLEGE,273 rue Victor Schoelcher ,69009,Lyon 9e Arrondissement,POINT (4.795596483244692 45.78884825807842)
Collège Jean Moulin,COLLEGE,229 rue du collège ,69400,Villefranche-sur-Saône,POINT (4.714890389447981 45.98378288646118)
Collège Pierre Valdo,COLLEGE,11 chemin Claude Debussy BP  224 ,69515,Vaulx-en-Velin,POINT (4.92880538362763 45.77967096018125)
Collège les Iris,COLLEGE,287 rue de Pressensé ,69100,Villeurbanne,POINT (4.8968622457316275 45.76927020253777)
Collège Professeur Dargent,COLLEGE,5 rue Jeanne Koehler ,69003,Lyon 3e Arrondissement,POINT (4.870113433686356 45.74669927171092)
Collège Katia Krafft,COLLEGE,10 avenue de la République ,69200,Vénissieux,POINT (4.866614640480067 45.70755440374652)
Collège Jean Mermoz,COLLEGE,192 boulevard Pinel ,69008,Lyon 8e Arrondissement,POINT (4.888826360955457 45.733786848592075)
