adresse,commune,surface_m2,aire_jeu,eau,toilettes,code_insee,longitude,latitude
1 22 bis Avenue Edouard Aynard,Écully,11500.0,True,False,False,69081,4.778994000000001,45.7766900408949
2 18 Avenue du Dr Terver,Écully,6000.0,True,True,False,69081,4.776397,45.77219504089539
3 28 Chemin du Trouillat,Écully,70000.0,True,True,False,69081,4.766918,45.777487040894805
4 21 Avenue Edouard Aynard,Écully,15000.0,False,False,True,69081,4.777678000000001,45.77898704089465
5 15 Chemin de Charbonnières,Écully,1600000.0,False,False,False,69081,4.754175,45.79753204089255
6 31 Avenue Paul Santy,Écully,5200.0,False,True,False,69081,4.771097,45.772885040895325
7 5 Chemin des Hautes Bruyères,Écully,15000.0,False,False,False,69081,4.765213,45.7766300408949
8 4 Rue Benoit Tabard,Écully,920.0,False,False,False,69081,4.777432999999999,45.773696040895224
5320 Rue François Genin,Lyon 5e Arrondissement,337.67,True,False,False,69385,4.796083780283757,45.754300473147666
54137 Place Edouard Millaud,Lyon 4e Arrondissement,1921.88,True,True,True,69384,4.823402711154748,45.77434358788858
16 700 Avenue Pierre Mendés France,Rillieux-la-Pape,32047.0,False,False,False,69286,4.873484025457444,45.81555874972465
7277 37 Rue du repos,Lyon 7e Arrondissement,166949.37,True,True,True,69387,4.850809041575101,45.74607663813746
7283 198 Avenue Jean jaures,Lyon 7e Arrondissement,4541.61,False,False,False,69387,4.836270505270254,45.73621142170143
52028 Place des Celestins,Lyon 2e Arrondissement,2683.72,False,False,True,69382,4.831397097277308,45.7597587565497
7259 Rue jaboulay-Camille Roy,Lyon 7e Arrondissement,563.18,True,True,False,69387,4.846920088545933,45.745098164463315
54 16 rue de Margnolles,Caluire-et-Cuire,7734.0,True,True,False,69034,4.83437924568485,45.78293425994118
34 1 Chemin de Chantemerle,Rillieux-la-Pape,10021.0,False,False,False,69286,4.907777377172902,45.83120138027229
40,Rillieux-la-Pape,296.0,False,False,False,69286,4.906170090842701,45.84411028334405
1274 Rue de Thou,Lyon 1er Arrondissement,243.65,False,False,False,69381,4.836471110315759,45.77017992892734
6 Avenue Garibaldi,Vaulx-en-Velin,685.0,False,False,False,69256,4.92995766909488,45.766271642280785
3094 14 cours Eugenie,Lyon 3e Arrondissement,546.33,True,True,False,69383,4.886758657087162,45.749136789299165
2245 Rue Casimir Perier,Lyon 2e Arrondissement,9085.84,True,True,False,69382,4.8173193243661645,45.74397951056449
2246 Quai Rambaud,Lyon 2e Arrondissement,11888.11,False,True,False,69382,4.814306185725348,45.741307765605704
8289 Boulevard des Etats Unis,Lyon 8e Arrondissement,995.98,False,False,False,69388,4.867055823194563,45.72899547753825
8287 Rue henri Pensier,Lyon 8e Arrondissement,222.19,False,False,False,69388,4.862553947909878,45.74522042629546
55123 8 Rue de Trion,Lyon 5e Arrondissement,270.0,False,False,False,69385,4.818630390189566,45.756095100831914
9335 19 rue de la Corderie & 5 rue Roquette,Lyon 9e Arrondissement,5346.7,True,True,False,69389,4.805594060822299,45.77612290685166
23 Avenue Grandclément,Vaulx-en-Velin,113997.0,False,False,False,69256,4.924680969862264,45.77024933968683
24 Rue André Chénier,Vaulx-en-Velin,3950.0,True,False,False,69256,4.924019637979458,45.753470765528
41 6 Rue Joannès Drevet,Vaulx-en-Velin,2904.0,True,False,False,69256,4.929523162158018,45.7773390964912
48 Rue Général Charles Delestraint,Vaulx-en-Velin,901.0,False,False,False,69256,4.911747968984247,45.78900550753292
3415 72 rue Chaponnay,Lyon 3e Arrondissement,1231.57,False,True,False,69383,4.848147778397833,45.75830056948066
9102 33 rue Roquette,Lyon 9e Arrondissement,415.39,False,False,False,69389,4.807146609974617,45.77647959865258
57231 Berges Anna Lindh,Lyon 7e Arrondissement,,False,False,False,69387,4.836377213815997,45.752152133799115
51054 Place du 157e R.I.A.,Lyon 1er Arrondissement,,False,False,False,69381,4.815425011884499,45.76845859015169
56028 Place Puvis de Chavannes,Lyon 6e Arrondissement,8746.31,True,False,True,69386,4.843535915745881,45.771111155789164
52021 Place Antonin Poncet,Lyon 2e Arrondissement,11800.39,False,False,False,69382,4.833590567967537,45.75687747338104
53061 Place de la Ferrandière,Lyon 3e Arrondissement,9423.07,True,True,False,69383,4.870027283261791,45.75967779500181
52022 Place Bellecour,Lyon 2e Arrondissement,7250.0,True,True,True,69382,4.829596584515969,45.75731096393364
55065 Place de Trion,Lyon 5e Arrondissement,,False,False,False,69385,4.812431338747527,45.7580200702899
10803 0 Angle des rues Michel / Roux,Vénissieux,1432.0,True,True,False,69259,4.8580661944489005,45.72822678588635
10905 0 Place Ennemond Romand,Vénissieux,11688.0,True,True,True,69259,4.859753192801306,45.72506096120873
10907 2 Rue Vaillant Couturier,Vénissieux,1506.0,True,True,False,69259,4.854274539252599,45.72463120360349
53324 Berges Aletta Jacob,Lyon 3e Arrondissement,,False,False,False,69383,4.840898327953319,45.761792644818634
11104 0 Rue Paul Reverchon,Vénissieux,1597.0,True,True,False,69259,4.8666664877294386,45.72233325979775
11403 0 Agle de l'avenue Jean Jaurès / rue Carnot,Vénissieux,1708.0,False,False,False,69259,4.879067356111047,45.704469055974805
11404 0 Avenue Jean Jaurès,Vénissieux,3819.0,False,False,False,69259,4.87960561510224,45.703566881632035
11502 0 Rue de l'Ancienne Gare,Vénissieux,1014.0,False,False,False,69259,4.882795258435417,45.70697674253659
20302 10 Avenue Jules Guesde,Vénissieux,1192.0,False,False,False,69259,4.887329753051523,45.71716697910455
20303 27 Avenue Jules Guesde,Vénissieux,1866.0,True,False,False,69259,4.888075462540646,45.71692551575954
20602 0 Rue Eugène Labourde,Vénissieux,517.0,True,True,True,69259,4.886078889214611,45.71735462257479
7308 Place Jean-Pierre Flaconnèche,Lyon 7e Arrondissement,,False,False,False,69387,4.839223649486628,45.74699281885425
20605 31 Rue Joannès Vallet,Vénissieux,616.0,True,False,False,69259,4.886826843140215,45.7133742489388
20606 0 Angle des rues Joannès Vallet / Joliot Curie,Vénissieux,789.0,False,False,False,69259,4.885485767140184,45.709327014474184
