nom,nature,code_postal,adresse,insee,commune,lon,lat
Ecole secondaire générale et professionnelle privée Academy OL,LYCEE POLYVALENT,69330,8 rue MELINA MERCOURI 69330 MEYZIEU,69282,Meyzieu,5.010978328995216,45.76679273396769
Lycée Rosa Parks,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69582,13 rue Pollet BP 10124 ,69143,Neuville-sur-Saône,4.84674312266278,45.87649688889654
Lycée général et technologique privé Al Kindi,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69150,17 rue SULLY 69150 DECINES CHARPIEU,69275,Décines-Charpieu,4.975825350229936,45.7706972596651
Section d'enseignement professionnel du Lycée polyvalent Charlie Chaplin,SECTION D ENSEIGNEMENT PROFESSIONNEL,69153,373 avenue Jean Jaurès 69153 DECINES CHARPIEU CEDEX,69275,Décines-Charpieu,4.97569640166434,45.77263437420881
Ecole professionnelle privée ELEA Presqu'île,LYCEE PROFESSIONNEL,69005,41 quai FULCHIRON 69005 LYON,69385,Lyon 5e Arrondissement,4.821566873893875,45.75192100858133
Lycée Saint-Charles,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69140,2831 route de Strasbourg ,69286,Rillieux-la-Pape,4.895287160774396,45.82026918705394
Ecole secondaire privée International School Of Lyon,LYCEE D ENSEIGNEMENT GENERAL,69110,80 CHEMIN DU GRAND ROULE 69110 STE FOY LES LYON,69202,Sainte-Foy-lès-Lyon,4.807272861544385,45.72963109506722
Section d'enseignement professionnel du Lycée polyvalent Jacques Brel,SECTION D ENSEIGNEMENT PROFESSIONNEL,69200,2 rue ALBERT JACQUARD 69200 VENISSIEUX,69259,Vénissieux,4.8806795919347365,45.694775921721615
Lycée Beth Hanna,LYCEE D ENSEIGNEMENT GENERAL,69100,293 rue Francis de Pressensé ,69266,Villeurbanne,4.897064879003308,45.76849935704521
Lycée Germaine Tillion,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69210,500 allée de Grands Champs ,69171,Sain-Bel,4.598478269340394,45.823700781199825
