nom,nature,adresse,code_postal,commune,the_geom
Section d'enseignement professionnel du Lycée polyvalent Camus-Sermenaz,SECTION D ENSEIGNEMENT PROFESSIONNEL,2179 avenue de l'Europe 69140 RILLIEUX LA PAPE,69140,Rillieux-la-Pape,POINT (4.909636247775357 45.819904915077316)
Eden School Lyon,ECOLE PROFESSIONNELLE SPECIALISEE,31 place Jules Grandclément ,69100,Villeurbanne,POINT (4.873837868852141 45.76642944540066)
Lycée horticole et paysager Lyon Pressin Don Bosco,LYCEE PROFESSIONNEL,81 chemin de Beaunant ,69230,Saint-Genis-Laval,POINT (4.778961436331569 45.70896416250624)
Lycée Jean Monnet,LYCEE PROFESSIONNEL,304 boulevard de la Bardière ,69590,Saint-Symphorien-sur-Coise,POINT (4.461010997108385 45.62956373222764)
Lycée polyvalent Jacques Brel,LYCEE POLYVALENT,2 rue Albert Jacquard ,69200,Vénissieux,POINT (4.8806795919347365 45.694775921721615)
Lycée polyvalent Charlie Chaplin,LYCEE POLYVALENT,373 avenue Jean Jaurès CS 50701 ,69153,Décines-Charpieu,POINT (4.97569640166434 45.77263437420881)
Lycée La Martinière Monplaisir,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,41 rue Antoine Lumière ,69372,Lyon 8e Arrondissement,POINT (4.867789437654129 45.74013626901012)
Lycée professionnel André Cuzin,LYCEE PROFESSIONNEL,42 chemin de Crépieux ,69300,Caluire-et-Cuire,POINT (4.856604301451287 45.800999216336436)
Lycée Jean-Paul Sartre,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,93 avenue François Mitterrand ,69675,Bron,POINT (4.920177446026666 45.73722413510662)
Ecole technique privée La Fabrique - Académie de Mécanique,LYCEE PROFESSIONNEL,847 route DE FRANS 69400 VILLEFRANCHE SUR SAONE,69400,Villefranche-sur-Saône,POINT (4.732349281177441 45.9849204759172)
Lycée professionnel les Canuts,LYCEE PROFESSIONNEL,2 rue Ho-Chi-Minh ,69120,Vaulx-en-Velin,POINT (4.921146595554634 45.77943682089088)
Lycée professionnel François Cevert,LYCEE PROFESSIONNEL,104 chemin de la Sauvegarde BP 178 ,69132,Écully,POINT (4.788026856753198 45.78358574046549)
Lycée professionnel Fernand Forest,LYCEE PROFESSIONNEL,9 impasse Jacques Brel ,69800,Saint-Priest,POINT (4.948453608274266 45.68680986727376)
Ecole professionnelle privée Atelier d'Apprentissage de Gorge de Loup,LYCEE PROFESSIONNEL,105  AVENUE SIDOINE APOLLINAIRE 69009 LYON,69009,Lyon 9e Arrondissement,POINT (4.7976971444584136 45.76731276063197)
Section d'enseignement professionnel du Lycée polyvalent Aragon-Picasso,SECTION D ENSEIGNEMENT PROFESSIONNEL,12 chemin DE LA COTE A CAILLOUX 69700 GIVORS,69700,Givors,POINT (4.76035926177761 45.60134003688475)
Lycée Notre-Dame de Bel Air,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,5 avenue des Belges ,69170,Tarare,POINT (4.438703202925955 45.89082969906824)
Ecole professionnelle privée Académie d'Art Dentaire Lyon,LYCEE PROFESSIONNEL,181 avenue Jean Jaurès BP 7086 69365 LYON CEDEX 07,69365,Lyon 7e Arrondissement,POINT (4.836840805564323 45.7364373923854)
Lycée polyvalent Aragon-Picasso,LYCEE POLYVALENT,12 chemin de la Côte à Cailloux ,69700,Givors,POINT (4.76035926177761 45.60134003688475)
Lycée professionnel hôtelier la Vidaude,LYCEE PROFESSIONNEL,Chemin de la Vidaude ,69230,Saint-Genis-Laval,POINT (4.779588745705091 45.69201903446252)
Lycée professionnel Aux Lazaristes - La Salle,LYCEE PROFESSIONNEL,1 rue Neyret ,69283,Lyon 1er Arrondissement,POINT (4.830230362921921 45.77167247356671)
Lycée professionnel Don Bosco,LYCEE PROFESSIONNEL,12 montée Saint-Laurent ,69322,Lyon 5e Arrondissement,POINT (4.819326031127019 45.751858101062915)
Lycée professionnel privé Carrel,LYCEE PROFESSIONNEL,119 rue Boileau ,69006,Lyon 6e Arrondissement,POINT (4.849633864919563 45.766219115761935)
Lycée professionnel La Mache,LYCEE PROFESSIONNEL,75 boulevard Jean XXIII ,69373,Lyon 8e Arrondissement,POINT (4.870617453961706 45.73714846838786)
