FID,id,nom,desserte,pmr,ascenseur,escalator,gid,last_update,last_update_fme,the_geom,adresse,localise_face_a_adresse,commune,insee,zone
tcl_sytral.tclarret.47408,47408,J.Jaurès - Malherbe,"85:R,95:A,JD942:R",true,false,false,28416,2025-10-17T05:05:48.318,2025-10-17T05:05:48.318,POINT (5.015802053942 45.77169404444946),35 RUE JEAN JAURES,,Meyzieu,69282,1
tcl_sytral.tclarret.47409,47409,Fénelon,"85:R,95:A,JD122:R,ZI2:A",false,false,false,28417,2025-10-17T05:05:48.318,2025-10-17T05:05:48.318,POINT (5.018964031469 45.77503300240308),14 RUE JEAN JAURES,,Meyzieu,69282,1
tcl_sytral.tclarret.47410,47410,Jonage Le Vivier,"95:A,JD123:R,JD946:R",false,false,false,28418,2025-10-17T05:05:48.318,2025-10-17T05:05:48.318,POINT (5.053650039695001 45.79868606291941),104 RUE NATIONALE,,Jonage,69279,2
tcl_sytral.tclarret.47411,47411,Musset - Poudrette,"C15:R,C8:R,JD136:A",true,false,false,28419,2025-10-17T05:05:48.318,2025-10-17T05:05:48.318,POINT (4.9211969939580005 45.75698808323106),81 RUE DE LA POUDRETTE,,Villeurbanne,69266,1
tcl_sytral.tclarret.47412,47412,Teillon - Poudrette,C15:A,true,false,false,28420,2025-10-17T05:05:48.318,2025-10-17T05:05:48.318,POINT (4.918707994018001 45.750842028951716),182 RUE DE LA POUDRETTE,,Vaulx-en-Velin,69256,1
tcl_sytral.tclarret.47413,47413,Cité de l'Enfance - IDEF,"26:R,C15:R,C17:R,PL1:A",true,false,false,28421,2025-10-17T05:05:48.318,2025-10-17T05:05:48.318,POINT (4.907374944281 45.72604901942333),69 RUE LIONEL TERRAY,,Bron,69029,1
tcl_sytral.tclarret.37481,37481,Charbonnières Fontville,"JD174:R,JD174:A",false,,,29389,2025-10-17T05:05:48.205,2025-10-17T05:05:48.205,POINT (4.763902947848 45.77668768274589),,,,,1
tcl_sytral.tclarret.281,281,Brotteaux,"70:R,C1:R,C2:R,C6:R,JD981:A",true,false,false,26112,2025-10-17T05:05:48.138,2025-10-17T05:05:48.138,POINT (4.8591352763460005 45.76666797694),5 PLACE JULES FERRY,,Lyon 6e Arrondissement,69386,1
tcl_sytral.tclarret.2812,2812,St Germain Gare,"96:A,96:R,JD242:R,JD242:A",true,false,false,26113,2025-10-17T05:05:48.138,2025-10-17T05:05:48.138,POINT (4.80427475562 45.88806206995457),4 RUE HENRI VINCENOT,,Saint-Germain-au-Mont-d'Or,69207,2
tcl_sytral.tclarret.2813,2813,St Germain Gare,"96:A,96:R",true,false,false,26114,2025-10-17T05:05:48.138,2025-10-17T05:05:48.138,POINT (4.804200728545 45.88813570324356),5 AVENUE DU 2EME SPAHIS,,Saint-Germain-au-Mont-d'Or,69207,2
tcl_sytral.tclarret.2814,2814,St Germain Mairie,"96:A,96:R,JD242:R,JD242:A",true,false,false,26115,2025-10-17T05:05:48.138,2025-10-17T05:05:48.138,POINT (4.803023980357 45.88339902036117),1 AVENUE DE LA RESISTANCE,,Saint-Germain-au-Mont-d'Or,69207,2
tcl_sytral.tclarret.2824,2824,Challemel Lacour Artill.,"34:R,64:R",true,false,false,26116,2025-10-17T05:05:48.138,2025-10-17T05:05:48.138,POINT (4.843442004699001 45.729612060610954),112 RUE CHALLEMEL LACOUR,,Lyon 7e Arrondissement,69387,1
tcl_sytral.tclarret.2826,2826,Saint-Just,90:A,false,false,false,26117,2025-10-17T05:05:48.138,2025-10-17T05:05:48.138,POINT (4.815033990215001 45.75785904415796),1 RUE CARDINAL GERLIER,,Lyon 5e Arrondissement,69385,1
tcl_sytral.tclarret.2828,2828,Saint-Just,"66:R,66:A",true,false,false,26118,2025-10-17T05:05:48.138,2025-10-17T05:05:48.138,POINT (4.8155920073119995 45.757535014423),0 PLACE PERE FRANCOIS VARILLON,,Lyon 5e Arrondissement,69385,1
tcl_sytral.tclarret.41214,41214,Square Elie Vignal,"C1:A,JD201:A,JD205:A,JD61:A,JD62:A",true,false,false,27301,2025-10-17T05:05:48.232,2025-10-17T05:05:48.232,POINT (4.837202409511001 45.78553012282689),2 RUE PASTEUR,,Caluire-et-Cuire,69034,1
tcl_sytral.tclarret.41234,41234,Gare d'Albigny-Neuville,"82:A,84:A,JD185:R,JD72:A,R2:A",true,false,false,27302,2025-10-17T05:05:48.232,2025-10-17T05:05:48.232,POINT (4.833652002718 45.875783055197154),12 AVENUE DE LA GARE,,Albigny-sur-Saône,69003,1
tcl_sytral.tclarret.41235,41235,Gare d'Albigny-Neuville,"82:R,84:R,JD185:A,JD72:R,R2:R",true,false,false,27303,2025-10-17T05:05:48.232,2025-10-17T05:05:48.232,POINT (4.833280004733 45.87559706085717),12 AVENUE DE LA GARE,,Albigny-sur-Saône,69003,1
tcl_sytral.tclarret.41295,41295,Serin - Saint-Charles,C6:A,true,false,false,27304,2025-10-17T05:05:48.232,2025-10-17T05:05:48.232,POINT (4.812541991139999 45.774693017596114),10 AVENUE DE BIRMINGHAM,,Lyon 4e Arrondissement,69384,1
tcl_sytral.tclarret.41315,41315,Collège Simone Lagrange,"JD917:A,JD917:R",false,false,false,27305,2025-10-17T05:05:48.232,2025-10-17T05:05:48.232,POINT (4.903709953677 45.7793350551556),38 RUE PETITE DU ROULET,,Villeurbanne,69266,1
tcl_sytral.tclarret.41402,41402,Marne Montferrat,JD971:A,false,false,false,27306,2025-10-17T05:05:48.232,2025-10-17T05:05:48.232,POINT (4.914340631244 45.740119962014845),79 RUE DE REIMS,,Bron,69029,1
tcl_sytral.tclarret.47414,47414,Mermoz - Moselle,"C15:R,PL1:A",true,false,false,28422,2025-10-17T05:05:48.318,2025-10-17T05:05:48.318,POINT (4.882708065026 45.73221704490469),111 AVENUE JEAN MERMOZ,,Lyon 8e Arrondissement,69388,1
tcl_sytral.tclarret.47416,47416,1 Avenue Schneider,ZI2:R,false,false,false,28423,2025-10-17T05:05:48.318,2025-10-17T05:05:48.318,POINT (5.033516962296 45.779947040873544),1229 AVENUE HENRI SCHNEIDER,,Meyzieu,69282,2
tcl_sytral.tclarret.47417,47417,Vaucanson,ZI3:R,false,false,false,28424,2025-10-17T05:05:48.318,2025-10-17T05:05:48.318,POINT (4.943183011734 45.754426061010335),101 AVENUE DES BRUYERES,,Décines-Charpieu,69275,1
tcl_sytral.tclarret.47418,47418,Carré de Soie,C8:R,true,false,false,28425,2025-10-17T05:05:48.318,2025-10-17T05:05:48.318,POINT (4.9191920179510005 45.76408703167528),44 RUE DE LA POUDRETTE,,Vaulx-en-Velin,69256,1
tcl_sytral.tclarret.47419,47419,Normandie-Niemen,26:R,true,false,false,28426,2025-10-17T05:05:48.319,2025-10-17T05:05:48.319,POINT (4.935253008666 45.72476206431146),355 AVENUE GENERAL DE GAULLE,,Bron,69029,1
tcl_sytral.tclarret.47420,47420,Rd Pt Charles de Gaulle,26:R,true,false,false,28427,2025-10-17T05:05:48.319,2025-10-17T05:05:48.319,POINT (4.929693052896 45.72661107031527),332 AVENUE GENERAL DE GAULLE,,Bron,69029,1
tcl_sytral.tclarret.47421,47421,Echangeur Pte des Alpes,26:A,false,false,false,28428,2025-10-17T05:05:48.319,2025-10-17T05:05:48.319,POINT (4.921079987539999 45.723247071062616),0 BOULEVARD DE L UNIVERSITE,,Bron,69029,1
tcl_sytral.tclarret.47422,47422,Galline,69:A,false,false,false,28429,2025-10-17T05:05:48.319,2025-10-17T05:05:48.319,POINT (4.868186974411 45.77633203861595),55 AVENUE GALLINE,,Villeurbanne,69266,1
